row_index,label,S,G_size
0,High,"['Low', 'Low', 'Medium']",1
1,Low,"['Low', 'Low', 'Medium']",3
2,High,"['?', '?', '?']",0
3,High,"['?', '?', '?']",0
4,High,"['?', '?', '?']",0
6,Low,"['?', '?', '?']",0
7,High,"['?', '?', '?']",0
8,Low,"['?', '?', '?']",0
9,Medium,"['?', '?', '?']",0
10,Low,"['?', '?', '?']",0
12,Low,"['?', '?', '?']",0
13,Low,"['?', '?', '?']",0
14,High,"['?', '?', '?']",0
15,Low,"['?', '?', '?']",0
16,Low,"['?', '?', '?']",0
17,Low,"['?', '?', '?']",0
19,Medium,"['?', '?', '?']",0
20,Low,"['?', '?', '?']",0
21,Medium,"['?', '?', '?']",0
22,Low,"['?', '?', '?']",0
24,Medium,"['?', '?', '?']",0
25,Low,"['?', '?', '?']",0
26,Low,"['?', '?', '?']",0
27,Low,"['?', '?', '?']",0
28,Medium,"['?', '?', '?']",0
29,Medium,"['?', '?', '?']",0
30,Medium,"['?', '?', '?']",0
31,Medium,"['?', '?', '?']",0
32,Low,"['?', '?', '?']",0
33,Medium,"['?', '?', '?']",0
35,Medium,"['?', '?', '?']",0
37,Low,"['?', '?', '?']",0
38,High,"['?', '?', '?']",0
39,Low,"['?', '?', '?']",0
40,High,"['?', '?', '?']",0
41,High,"['?', '?', '?']",0
42,Medium,"['?', '?', '?']",0
43,High,"['?', '?', '?']",0
44,High,"['?', '?', '?']",0
46,Low,"['?', '?', '?']",0
48,Medium,"['?', '?', '?']",0
49,High,"['?', '?', '?']",0
50,Low,"['?', '?', '?']",0
51,Medium,"['?', '?', '?']",0
52,High,"['?', '?', '?']",0
53,Medium,"['?', '?', '?']",0
54,Medium,"['?', '?', '?']",0
55,Low,"['?', '?', '?']",0
56,High,"['?', '?', '?']",0
57,Low,"['?', '?', '?']",0
58,Low,"['?', '?', '?']",0
59,Medium,"['?', '?', '?']",0
61,Low,"['?', '?', '?']",0
62,High,"['?', '?', '?']",0
64,High,"['?', '?', '?']",0
65,Low,"['?', '?', '?']",0
67,Medium,"['?', '?', '?']",0
68,Low,"['?', '?', '?']",0
69,Low,"['?', '?', '?']",0
70,Low,"['?', '?', '?']",0
71,Medium,"['?', '?', '?']",0
72,Low,"['?', '?', '?']",0
73,Low,"['?', '?', '?']",0
74,High,"['?', '?', '?']",0
75,Low,"['?', '?', '?']",0
76,High,"['?', '?', '?']",0
77,Medium,"['?', '?', '?']",0
78,Medium,"['?', '?', '?']",0
79,Medium,"['?', '?', '?']",0
81,High,"['?', '?', '?']",0
82,Low,"['?', '?', '?']",0
83,High,"['?', '?', '?']",0
84,Low,"['?', '?', '?']",0
85,High,"['?', '?', '?']",0
86,High,"['?', '?', '?']",0
87,High,"['?', '?', '?']",0
88,Low,"['?', '?', '?']",0
89,Medium,"['?', '?', '?']",0
90,High,"['?', '?', '?']",0
91,Medium,"['?', '?', '?']",0
93,High,"['?', '?', '?']",0
95,High,"['?', '?', '?']",0
96,Low,"['?', '?', '?']",0
97,High,"['?', '?', '?']",0
98,High,"['?', '?', '?']",0
99,Medium,"['?', '?', '?']",0
100,Medium,"['?', '?', '?']",0
101,Medium,"['?', '?', '?']",0
102,High,"['?', '?', '?']",0
103,Medium,"['?', '?', '?']",0
104,Medium,"['?', '?', '?']",0
105,Low,"['?', '?', '?']",0
106,Medium,"['?', '?', '?']",0
107,High,"['?', '?', '?']",0
108,Medium,"['?', '?', '?']",0
109,High,"['?', '?', '?']",0
110,Medium,"['?', '?', '?']",0
111,High,"['?', '?', '?']",0
112,Low,"['?', '?', '?']",0
113,High,"['?', '?', '?']",0
114,Low,"['?', '?', '?']",0
115,High,"['?', '?', '?']",0
116,High,"['?', '?', '?']",0
117,Low,"['?', '?', '?']",0
118,Medium,"['?', '?', '?']",0
119,High,"['?', '?', '?']",0
120,Medium,"['?', '?', '?']",0
121,Low,"['?', '?', '?']",0
122,High,"['?', '?', '?']",0
123,High,"['?', '?', '?']",0
125,High,"['?', '?', '?']",0
126,High,"['?', '?', '?']",0
127,Medium,"['?', '?', '?']",0
128,Low,"['?', '?', '?']",0
129,Medium,"['?', '?', '?']",0
130,Medium,"['?', '?', '?']",0
131,Medium,"['?', '?', '?']",0
132,Medium,"['?', '?', '?']",0
133,Low,"['?', '?', '?']",0
134,Low,"['?', '?', '?']",0
135,Low,"['?', '?', '?']",0
136,Low,"['?', '?', '?']",0
137,Low,"['?', '?', '?']",0
138,Low,"['?', '?', '?']",0
139,Medium,"['?', '?', '?']",0
141,High,"['?', '?', '?']",0
142,Medium,"['?', '?', '?']",0
143,High,"['?', '?', '?']",0
146,High,"['?', '?', '?']",0
147,High,"['?', '?', '?']",0
148,Low,"['?', '?', '?']",0
149,Low,"['?', '?', '?']",0
151,High,"['?', '?', '?']",0
153,Medium,"['?', '?', '?']",0
154,High,"['?', '?', '?']",0
155,Low,"['?', '?', '?']",0
156,Low,"['?', '?', '?']",0
157,Medium,"['?', '?', '?']",0
158,Low,"['?', '?', '?']",0
159,High,"['?', '?', '?']",0
161,Low,"['?', '?', '?']",0
162,High,"['?', '?', '?']",0
163,Low,"['?', '?', '?']",0
164,High,"['?', '?', '?']",0
165,Low,"['?', '?', '?']",0
166,Medium,"['?', '?', '?']",0
167,Low,"['?', '?', '?']",0
168,High,"['?', '?', '?']",0
169,High,"['?', '?', '?']",0
170,High,"['?', '?', '?']",0
171,Low,"['?', '?', '?']",0
172,Low,"['?', '?', '?']",0
173,High,"['?', '?', '?']",0
174,High,"['?', '?', '?']",0
175,Medium,"['?', '?', '?']",0
176,High,"['?', '?', '?']",0
177,Medium,"['?', '?', '?']",0
179,Medium,"['?', '?', '?']",0
181,Low,"['?', '?', '?']",0
182,High,"['?', '?', '?']",0
183,Low,"['?', '?', '?']",0
184,Low,"['?', '?', '?']",0
185,Medium,"['?', '?', '?']",0
186,High,"['?', '?', '?']",0
187,High,"['?', '?', '?']",0
188,Medium,"['?', '?', '?']",0
189,Medium,"['?', '?', '?']",0
190,Medium,"['?', '?', '?']",0
191,Medium,"['?', '?', '?']",0
192,High,"['?', '?', '?']",0
193,High,"['?', '?', '?']",0
195,Medium,"['?', '?', '?']",0
196,High,"['?', '?', '?']",0
197,High,"['?', '?', '?']",0
198,Medium,"['?', '?', '?']",0
200,High,"['?', '?', '?']",0
202,High,"['?', '?', '?']",0
203,High,"['?', '?', '?']",0
204,High,"['?', '?', '?']",0
205,Medium,"['?', '?', '?']",0
206,Low,"['?', '?', '?']",0
208,Medium,"['?', '?', '?']",0
209,Medium,"['?', '?', '?']",0
210,Medium,"['?', '?', '?']",0
211,Low,"['?', '?', '?']",0
212,High,"['?', '?', '?']",0
213,Medium,"['?', '?', '?']",0
214,Low,"['?', '?', '?']",0
215,Low,"['?', '?', '?']",0
216,Medium,"['?', '?', '?']",0
217,Low,"['?', '?', '?']",0
218,High,"['?', '?', '?']",0
220,High,"['?', '?', '?']",0
221,High,"['?', '?', '?']",0
222,High,"['?', '?', '?']",0
223,Low,"['?', '?', '?']",0
224,Low,"['?', '?', '?']",0
225,Medium,"['?', '?', '?']",0
226,High,"['?', '?', '?']",0
227,Medium,"['?', '?', '?']",0
228,Medium,"['?', '?', '?']",0
229,Low,"['?', '?', '?']",0
230,Medium,"['?', '?', '?']",0
232,Medium,"['?', '?', '?']",0
233,Medium,"['?', '?', '?']",0
234,Low,"['?', '?', '?']",0
235,High,"['?', '?', '?']",0
236,High,"['?', '?', '?']",0
237,Low,"['?', '?', '?']",0
238,Medium,"['?', '?', '?']",0
239,Low,"['?', '?', '?']",0
240,High,"['?', '?', '?']",0
241,High,"['?', '?', '?']",0
242,Medium,"['?', '?', '?']",0
243,Medium,"['?', '?', '?']",0
244,Medium,"['?', '?', '?']",0
245,High,"['?', '?', '?']",0
246,Medium,"['?', '?', '?']",0
247,Low,"['?', '?', '?']",0
248,High,"['?', '?', '?']",0
249,Low,"['?', '?', '?']",0
250,High,"['?', '?', '?']",0
251,High,"['?', '?', '?']",0
252,Medium,"['?', '?', '?']",0
253,Low,"['?', '?', '?']",0
254,Medium,"['?', '?', '?']",0
255,Low,"['?', '?', '?']",0
256,Low,"['?', '?', '?']",0
257,Medium,"['?', '?', '?']",0
258,Medium,"['?', '?', '?']",0
259,Medium,"['?', '?', '?']",0
260,Medium,"['?', '?', '?']",0
261,Medium,"['?', '?', '?']",0
262,High,"['?', '?', '?']",0
265,Medium,"['?', '?', '?']",0
266,Low,"['?', '?', '?']",0
267,Medium,"['?', '?', '?']",0
268,Low,"['?', '?', '?']",0
269,Low,"['?', '?', '?']",0
270,High,"['?', '?', '?']",0
271,Medium,"['?', '?', '?']",0
272,Low,"['?', '?', '?']",0
274,Medium,"['?', '?', '?']",0
275,Medium,"['?', '?', '?']",0
276,High,"['?', '?', '?']",0
277,Low,"['?', '?', '?']",0
278,High,"['?', '?', '?']",0
279,Low,"['?', '?', '?']",0
280,High,"['?', '?', '?']",0
281,High,"['?', '?', '?']",0
